Filename,Subject,Gender,Item,Semantics,Picture,TargetMax,TargetMin,TargetPitch,TargetDifference,Duration,TargetIntensity,Syllables,Frequency,Semantics2,Freq-logwf,Freq-logcd,Freq-subtlcd,Freq-subtlwf,Filler
S38T13Wchatting_V__M_,38,M,chatting,V,M,111.7049233,79.77240936,93.91945384,31.93251391,0.522802165,52.34655616,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S39T13Wchatting_V__T_,39,M,chatting,V,T,94.69851166,84.12336643,90.28428945,10.57514522,0.479680329,56.14895336,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S4T13Wchatting_V__S_,4,M,chatting,V,S,151.8821242,121.6557252,132.3580487,30.22639899,0.492827081,58.62809654,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S40T13Wchatting_V__S_,40,M,chatting,V,S,108.8995833,91.98737512,99.50618846,16.91220813,0.429668785,47.22729377,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S41T13Wchatting_V__M_,41,M,chatting,V,M,124.9190388,104.1069823,111.7572989,20.81205652,0.453483708,57.89569011,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S42T13Wchatting_V__T_,42,M,chatting,V,T,123.2525409,101.2271413,107.5802511,22.0253996,0.750109264,55.1330048,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S43T13Wchatting_V__S_,43,F,chatting,V,S,298.6925726,229.1702038,259.0481654,69.52236886,0.785676889,48.80601183,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S44T13Wchatting_V__M_,44,F,chatting,V,M,279.752541,113.0938671,134.916141,166.658674,0.59539292,48.830339,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S45T13Wchatting_V__T_,45,M,chatting,V,T,114.3022611,87.48152609,94.9065686,26.82073504,0.49391368,52.81147537,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S5T13Wchatting_V__M_,5,F,chatting,V,M,221.717766,100.7875424,163.2367412,120.9302235,0.454285029,56.38257348,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S6T13Wchatting_V__T_,6,F,chatting,V,T,242.8820634,155.0141897,176.173274,87.86787374,0.554520602,51.35992967,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S7T13Wchatting_V__S_,7,M,chatting,V,S,166.80276,139.5638724,148.0616588,27.23888754,0.48117202,50.32063944,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S8T13Wchatting_V__M_,8,F,chatting,V,M,264.8044113,170.3523509,205.2920889,94.45206048,0.573454922,58.20915781,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S9T13Wchatting_V__T_,9,F,chatting,V,T,243.4970375,209.1138823,220.8541247,34.38315518,0.620090851,50.56265157,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S46T13Wchatting_V__S_,46,M,chatting,V,S,99.9692076,89.05916915,93.86981935,10.91003846,0.512798788,59.59903849,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S47T13Wchatting_V__M_,47,M,chatting,V,M,149.6179622,115.5583156,122.2380295,34.05964664,0.825213551,54.54979659,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S48T13Wchatting_V__T_,48,M,chatting,V,T,148.2889653,119.5064345,127.9785063,28.78253081,0.409969204,59.68600521,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S49T13Wchatting_V__S_,49,M,chatting,V,S,109.8366843,96.21054817,102.9831526,13.62613612,0.805891685,51.65645864,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S56T13Wchatting_V__M_,56,M,chatting,V,M,95.40968538,87.90592564,91.93060531,7.503759742,0.560065403,53.38561332,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S57T13Wchatting_V__T_,57,M,chatting,V,T,127.3787841,103.0912279,116.154005,24.28755625,0.740949721,64.78371947,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S58T13Wchatting_V__S_,58,M,chatting,V,S,133.51713,109.7660729,121.7265461,23.75105711,0.408639012,63.04724556,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S59T13Wchatting_V__M_,59,M,chatting,V,M,114.8071349,95.8572823,101.0552964,18.94985263,0.558804634,58.42463687,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S60T13Wchatting_V__T_,60,M,chatting,V,T,114.3087433,97.86350708,103.2206813,16.44523627,0.464333012,62.01921242,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S61T13Wchatting_V__S_,61,M,chatting,V,S,138.6737428,95.51238502,115.5678357,43.16135775,0.793956845,53.10999423,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S63T13Wchatting_V__T_,63,M,chatting,V,T,117.802614,95.35151907,102.6496842,22.45109489,0.683828268,62.87283784,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S50T13Wchatting_V__M_,50,F,chatting,V,M,274.9160051,205.0924311,222.0017502,69.82357399,0.831893209,51.67001492,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S51T13Wchatting_V__T_,51,F,chatting,V,T,252.0236836,199.2877583,215.7264854,52.73592529,0.531715269,54.55646606,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S52T13Wchatting_V__S_,52,F,chatting,V,S,290.0014774,104.9642604,157.2743459,185.037217,0.749009743,55.41409303,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S53T13Wchatting_V__M_,53,F,chatting,V,M,210.5043574,154.4137046,176.5112939,56.09065275,0.552623036,51.9554273,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S54T13Wchatting_V__T_,54,F,chatting,V,T,260.8610001,217.8946812,236.1229835,42.96631885,0.569945766,59.73164755,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S55T13Wchatting_V__S_,55,F,chatting,V,S,255.1488145,188.5994338,207.5286369,66.54938071,0.660773472,61.44299646,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S62T13Wchatting_V__M_,62,F,chatting,V,M,287.4650473,200.7790798,224.1015337,86.68596751,0.530851804,72.2030175,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S1T19Wcheering_V__M_,1,F,cheering,V,M,275.151332,224.1716338,234.1345908,50.97969826,0.744828892,40.45994,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S10T19Wcheering_V__M_,10,M,cheering,V,M,132.365489,116.9170395,121.181509,15.4484495,0.521719901,47.19193745,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S11T19Wcheering_V__T_,11,M,cheering,V,T,149.6787671,101.5916236,116.0618311,48.08714345,0.469059524,44.96884012,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S12T19Wcheering_V__S_,12,F,cheering,V,S,298.4435812,267.8070819,275.153796,30.63649929,0.552543231,45.8191443,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S13T19Wcheering_V__M_,13,F,cheering,V,M,255.4386443,204.596464,217.6571994,50.8421803,0.481421619,52.35510567,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S14T19Wcheering_V__T_,14,F,cheering,V,T,291.2301804,212.6093649,235.9883805,78.62081547,0.566436268,43.375225,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S15T19Wcheering_V__S_,15,F,cheering,V,S,235.7235988,178.6797283,198.3546527,57.04387047,0.523551042,61.13658434,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S16T19Wcheering_V__M_,16,F,cheering,V,M,203.4145845,173.7239581,179.0985567,29.6906264,0.528218437,64.35418769,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S17T19Wcheering_V__T_,17,M,cheering,V,T,138.0368009,97.85453747,117.9060495,40.18226344,0.6374316,63.69176985,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S18T19Wcheering_V__S_,18,F,cheering,V,S,303.9371899,100.1786302,195.6734842,203.7585597,0.558442065,63.90181464,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S19T19Wcheering_V__M_,19,F,cheering,V,M,355.4921682,196.503812,247.3945095,158.9883562,0.75980144,61.60241785,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S2T19Wcheering_V__T_,2,F,cheering,V,T,241.1035527,176.1211185,204.4224842,64.98243426,0.515137228,47.12224019,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S20T19Wcheering_V__T_,20,M,cheering,V,T,116.455709,102.7826657,108.5038325,13.67304324,0.479051546,65.68913795,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S21T19Wcheering_V__S_,21,F,cheering,V,S,289.9567264,219.5193599,230.2089673,70.43736651,0.627480273,57.45735099,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S22T19Wcheering_V__M_,22,F,cheering,V,M,246.247698,210.7358467,217.0985596,35.51185127,0.555995049,61.22612992,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S23T19Wcheering_V__T_,23,F,cheering,V,T,288.7254711,210.7806181,233.6710193,77.94485307,0.483014116,65.2831849,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S24T19Wcheering_V__S_,24,F,cheering,V,S,235.1050769,103.6426971,172.9282847,131.4623798,0.944497605,56.65481298,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S25T19Wcheering_V__M_,25,F,cheering,V,M,278.1713143,234.777655,244.2407346,43.39365931,0.668703725,56.22782118,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S26T19Wcheering_V__T_,26,F,cheering,V,T,304.3736175,101.6199639,244.3851018,202.7536536,0.632564956,50.71927125,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S27T19Wcheering_V__S_,27,M,cheering,V,S,148.6280709,112.3057894,125.9948108,36.3222815,0.55393076,63.29117977,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S28T19Wcheering_V__M_,28,F,cheering,V,M,286.4180731,217.2883325,234.2445725,69.12974062,0.727482063,54.87908723,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S29T19Wcheering_V__T_,29,F,cheering,V,T,299.000784,178.8263072,222.5454144,120.1744768,0.510477562,60.58069714,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S3T19Wcheering_V__S_,3,F,cheering,V,S,244.8065645,205.4740478,217.1986521,39.33251668,0.577839139,43.49988383,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S30T19Wcheering_V__S_,30,F,cheering,V,S,300.2307957,231.1316135,242.4295051,69.09918213,0.525102968,61.367875,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S31T19Wcheering_V__M_,31,M,cheering,V,M,179.4206636,152.6396008,162.747277,26.78106278,0.546006749,62.77485543,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S32T19Wcheering_V__T_,32,F,cheering,V,T,239.2410722,217.8799054,226.7546993,21.36116687,0.547335286,59.74412489,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S33T19Wcheering_V__S_,33,F,cheering,V,S,221.7867356,168.5346821,188.3466013,53.2520535,0.566164663,53.71312472,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S34T19Wcheering_V__M_,34,F,cheering,V,M,299.0911427,210.1817982,224.4250809,88.90934445,0.597684371,54.14428375,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S35T19Wcheering_V__T_,35,F,cheering,V,T,265.2183166,106.5302109,208.2704302,158.6881057,0.575050321,60.78206749,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S37T19Wcheering_V__M_,37,M,cheering,V,M,115.8297769,104.5041093,108.899852,11.32566753,0.532530291,49.60219194,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S38T19Wcheering_V__T_,38,M,cheering,V,T,116.3272116,89.51611909,100.6641453,26.81109248,0.52034236,50.56800045,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S39T19Wcheering_V__S_,39,M,cheering,V,S,124.6526151,88.5203084,95.73040448,36.13230671,0.502537014,56.12946787,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S4T19Wcheering_V__M_,4,M,cheering,V,M,160.5550273,130.7949135,145.7321924,29.76011381,0.453345885,61.85685482,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S40T19Wcheering_V__M_,40,M,cheering,V,M,115.7129226,100.1045813,105.271139,15.60834136,0.431503584,51.84935051,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S41T19Wcheering_V__T_,41,M,cheering,V,T,126.3994272,113.568978,120.5668149,12.83044912,0.511130094,55.89707506,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S42T19Wcheering_V__S_,42,M,cheering,V,S,138.9204125,98.37881143,119.3449393,40.54160104,0.643206692,58.11150976,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S43T19Wcheering_V__M_,43,F,cheering,V,M,272.0229625,217.5097006,236.2505417,54.51326192,0.701950111,51.77290304,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S44T19Wcheering_V__T_,44,F,cheering,V,T,264.7588424,110.9871717,173.7840045,153.7716707,0.613828373,51.7906076,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S45T19Wcheering_V__S_,45,M,cheering,V,S,248.3787223,90.5527892,112.4787674,157.8259331,0.531205403,53.60691196,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S5T19Wcheering_V__T_,5,F,cheering,V,T,188.3189614,102.5093107,163.2679092,85.80965078,0.540996808,47.65081406,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S6T19Wcheering_V__S_,6,F,cheering,V,S,249.306523,170.3098917,187.0336058,78.99663138,0.592178594,46.13116625,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S7T19Wcheering_V__M_,7,M,cheering,V,M,156.6060334,135.0394761,140.3681857,21.56655733,0.451241987,48.93246466,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S8T19Wcheering_V__T_,8,F,cheering,V,T,282.7028976,163.4811086,199.4363892,119.221789,0.684793412,55.29885557,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S9T19Wcheering_V__S_,9,F,cheering,V,S,271.1877483,212.3284677,230.1606004,58.8592806,0.565493734,50.92692948,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S46T19Wcheering_V__M_,46,M,cheering,V,M,120.0853164,105.5148101,110.3370007,14.57050637,0.565606488,56.16247273,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S47T19Wcheering_V__T_,47,M,cheering,V,T,167.1288401,106.5900494,124.6610707,60.53879078,0.591653378,60.98699879,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S48T19Wcheering_V__S_,48,M,cheering,V,S,141.1156619,114.1404271,124.9375517,26.9752348,0.393700684,59.35802857,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S49T19Wcheering_V__M_,49,M,cheering,V,M,108.6573555,94.57983713,101.866827,14.07751841,0.801238058,49.59013406,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S56T19Wcheering_V__T_,56,M,cheering,V,T,114.5176859,78.25598305,92.43521336,36.26170289,0.499359765,63.4826124,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S57T19Wcheering_V__S_,57,M,cheering,V,S,133.5908225,109.3790255,122.4015144,24.21179704,0.581938033,66.60651405,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S58T19Wcheering_V__M_,58,M,cheering,V,M,129.7685859,103.3135576,117.4496414,26.45502832,0.402090831,60.91521199,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S59T19Wcheering_V__T_,59,M,cheering,V,T,127.1185817,88.35156206,106.8228912,38.76701962,0.616976794,63.59367562,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S60T19Wcheering_V__S_,60,M,cheering,V,S,124.5340419,102.7798705,109.077468,21.75417142,0.495921099,64.13611079,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S61T19Wcheering_V__M_,61,M,cheering,V,M,139.6085212,60.04649477,104.8131726,79.56202646,0.677673886,60.16937106,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S63T19Wcheering_V__S_,63,M,cheering,V,S,114.0475809,83.0587208,99.03510622,30.98886012,0.546643424,59.45849735,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S50T19Wcheering_V__T_,50,F,cheering,V,T,285.1972439,229.7815969,245.8823307,55.41564699,0.870369653,51.13000318,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S51T19Wcheering_V__S_,51,F,cheering,V,S,258.3653664,213.4513942,224.6498273,44.91397227,0.545420188,54.70548096,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S52T19Wcheering_V__M_,52,F,cheering,V,M,310.4783069,93.90266853,200.5545288,216.5756384,0.707918397,55.0983927,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S53T19Wcheering_V__T_,53,F,cheering,V,T,216.115071,175.4111561,182.0999968,40.70391483,0.673235999,52.1474879,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S54T19Wcheering_V__S_,54,F,cheering,V,S,270.7675585,213.3948033,232.4478139,57.37275516,0.565801983,61.89052498,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S55T19Wcheering_V__M_,55,F,cheering,V,M,279.464633,191.0297436,214.1188202,88.43488937,0.877547633,56.20706574,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S62T19Wcheering_V__T_,62,F,cheering,V,T,253.2742834,210.197373,221.6852611,43.07691038,0.549823836,65.42135476,2,NA,HighVocal,2.8395,2.5079,3.83,13.53,C
S1T2Wdancing_P__S_,1,F,dancing,P,S,287.1499086,113.9976164,240.4168726,173.1522922,1.051941728,35.59093568,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S10T2Wdancing_P__S_,10,M,dancing,P,S,161.5815468,108.4420408,121.3761307,53.13950607,0.535932796,42.55836181,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S11T2Wdancing_P__M_,11,M,dancing,P,M,137.3139903,65.44571764,113.834641,71.86827266,0.543071427,41.39971465,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S12T2Wdancing_P__T_,12,F,dancing,P,T,350.2340464,243.3963235,286.9626626,106.8377229,0.602135153,45.73590344,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S13T2Wdancing_P__S_,13,F,dancing,P,S,262.7617275,212.5530458,236.778556,50.20868176,0.527035936,47.56628615,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S14T2Wdancing_P__M_,14,F,dancing,P,M,237.1639941,188.399204,219.032318,48.76479012,0.481664225,45.45836292,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S15T2Wdancing_P__T_,15,F,dancing,P,T,217.8156086,171.9761817,192.5272856,45.83942684,0.740833828,53.0875145,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S16T2Wdancing_P__S_,16,F,dancing,P,S,222.1027172,164.8329566,178.9310993,57.26976066,0.565981191,60.56496324,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S17T2Wdancing_P__M_,17,M,dancing,P,M,128.7510243,101.617775,118.2537752,27.13324929,0.687992244,62.42342826,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S18T2Wdancing_P__T_,18,F,dancing,P,T,235.0724273,176.1390577,201.3162733,58.93336957,0.547227569,62.02846855,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S19T2Wdancing_P__S_,19,F,dancing,P,S,297.2603804,191.4565725,237.895235,105.8038079,0.760314786,61.12182513,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S2T2Wdancing_P__M_,2,F,dancing,P,M,228.6087433,166.1209319,193.8082271,62.48781145,0.55462505,45.25556963,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S20T2Wdancing_P__M_,20,M,dancing,P,M,107.4647425,96.95470594,102.664064,10.51003658,0.535953368,59.68097462,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S21T2Wdancing_P__T_,21,F,dancing,P,T,266.3914563,221.3206358,241.8186793,45.07082047,0.601703375,58.66607837,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S22T2Wdancing_P__S_,22,F,dancing,P,S,208.2587665,178.6447629,194.0172155,29.61400356,0.532184161,58.31714917,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S23T2Wdancing_P__M_,23,F,dancing,P,M,299.8955795,215.5470849,244.6493637,84.34849453,0.556691739,61.66925,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S24T2Wdancing_P__T_,24,F,dancing,P,T,195.6865241,167.6877693,178.7528961,27.99875478,0.851063007,56.03345299,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S25T2Wdancing_P__S_,25,F,dancing,P,S,270.2661472,120.4114434,238.9610326,149.8547039,0.593188743,52.84482154,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S26T2Wdancing_P__M_,26,F,dancing,P,M,274.3544154,201.8371335,241.0437668,72.51728194,0.777558966,46.82612452,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S27T2Wdancing_P__T_,27,M,dancing,P,T,122.8645817,108.9148965,116.1128548,13.94968519,0.654488244,58.27433876,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
S28T2Wdancing_P__S_,28,F,dancing,P,S,318.1090125,227.578707,262.3145377,90.5303055,0.549475566,52.08546389,2,1.0792,Foot,3.4433,3.1443,16.61,54.39,C
